iter,success_rate,eval_success_rate,average_return,episode_length,entropy,eval_return,eval_ep_len,total_steps
0,0.0,0.0,0.0,196.0,1.941113919019699,0.0,196.0,1960
1,0.0,0.0,0.0,196.0,1.928781233727932,0.0,196.0,3920
2,0.0,0.0,0.0,196.0,1.9337533041834831,0.0,196.0,5880
3,0.0,0.0,0.0,196.0,1.9266472309827805,0.0,196.0,7840
4,0.0,0.0,0.0,196.0,1.9163794666528702,0.0,196.0,9800
5,0.0,0.0,0.0,196.0,1.921811155974865,0.0,196.0,11760
6,0.0,0.0,0.0,196.0,1.9017774015665054,0.0,196.0,13720
7,0.0,0.0,0.0,196.0,1.914317063987255,0.0,196.0,15680
8,0.0,0.0,0.0,196.0,1.9282732382416725,0.0,196.0,17640
9,0.0,0.0,0.0,196.0,1.9302895665168762,0.0,196.0,19600
10,0.0,0.0,0.0,196.0,1.9378406554460526,0.0,196.0,21560
11,0.0,0.0,0.0,196.0,1.9353701025247574,0.0,196.0,23520
12,0.0,0.0,0.0,196.0,1.9371760189533234,0.0,196.0,25480
13,0.0,0.0,0.0,196.0,1.9326702430844307,0.0,196.0,27440
14,0.0,0.0,0.0,196.0,1.9328497648239136,0.0,196.0,29400
15,0.0,0.0,0.0,196.0,1.9288218840956688,0.0,196.0,31360
16,0.0,0.0,0.0,196.0,1.9291922748088837,0.0,196.0,33320
17,0.0,0.0,0.0,196.0,1.9202892407774925,0.0,196.0,35280
18,0.0,0.0,0.0,196.0,1.905401386320591,0.0,196.0,37240
19,0.0,0.0,0.0,196.0,1.9183375760912895,0.0,196.0,39200
20,0.0,0.0,0.0,196.0,1.9147423654794693,0.0,196.0,41160
21,0.0,0.0,0.0,196.0,1.8947164863348007,0.0,196.0,43120
22,0.0,0.0,0.0,196.0,1.8738833889365196,0.0,196.0,45080
23,0.0,0.0,0.0,196.0,1.870233342051506,0.0,196.0,47040
24,0.0,0.0,0.0,196.0,1.894993968307972,0.0,196.0,49000
25,0.0,0.0,0.0,196.0,1.8860617950558662,0.0,196.0,50960
26,0.0,0.0,0.0,196.0,1.9047364592552185,0.0,196.0,52920
27,0.0,0.0,0.0,196.0,1.9071531519293785,0.0,196.0,54880
28,0.0,0.0,0.0,196.0,1.913588635623455,0.0,196.0,56840
29,0.0,0.0,0.0,196.0,1.8955214396119118,0.0,196.0,58800
30,0.0,0.0,0.0,196.0,1.8705358803272247,0.0,196.0,60760
