iter,success_rate,eval_success_rate,average_return,episode_length,entropy,eval_return,eval_ep_len,total_steps
0,0.0,0.0,0.0,150.0,1.9383676424622536,0.0,150.0,1280
1,0.0,0.0,0.0,150.0,1.9266984909772873,0.0,150.0,2560
2,0.0,0.0,0.0,150.0,1.9329909980297089,0.0,150.0,3840
3,0.0,0.0,0.0,150.0,1.9335992410779,0.0,150.0,5120
4,0.0,0.0,0.0,150.0,1.9359175711870193,0.0,150.0,6400
5,0.0,0.0,0.0,150.0,1.9211423695087433,0.0,150.0,7680
6,0.0,0.0,0.0,150.0,1.923786073923111,0.0,150.0,8960
7,0.0,0.0,0.0,150.0,1.8956470862030983,0.0,150.0,10240
8,0.0,0.0,0.0,150.0,1.9077080562710762,0.0,150.0,11520
9,0.1111111111111111,0.0,0.047111111111111104,144.0,1.9150904566049576,0.0,150.0,12800
10,0.0,0.0,0.0,150.0,1.9210394471883774,0.0,150.0,14080
11,0.0,0.0,0.0,150.0,1.9286866039037704,0.0,150.0,15360
12,0.0,0.0,0.0,150.0,1.937269851565361,0.0,150.0,16640
13,0.1111111111111111,0.0,0.02044444444444445,148.44444444444446,1.9305596426129341,0.0,150.0,17920
14,0.07142857142857142,0.0,0.011428571428571423,149.28571428571428,1.9410830736160278,0.0,150.0,19200
15,0.0,0.0,0.0,150.0,1.9426022917032242,0.0,150.0,20480
16,0.0,0.0,0.0,150.0,1.931930385529995,0.0,150.0,21760
17,0.0,0.0,0.0,150.0,1.9285358414053917,0.0,150.0,23040
18,0.0,0.0,0.0,150.0,1.9288655668497086,0.0,150.0,24320
19,0.0,0.0,0.0,150.0,1.9235585108399391,0.0,150.0,25600
20,0.0,0.0,0.0,150.0,1.9231733679771423,0.0,150.0,26880
21,0.0,0.0,0.0,150.0,1.9138429462909698,0.0,150.0,28160
22,0.0,0.0,0.0,150.0,1.9318444430828094,0.0,150.0,29440
23,0.0,0.0,0.0,150.0,1.9339840039610863,0.0,150.0,30720
24,0.0,0.0,0.0,150.0,1.9375102818012238,0.0,150.0,32000
25,0.0,0.0,0.0,150.0,1.9384270161390305,0.0,150.0,33280
26,0.0,0.0,0.0,150.0,1.9386924654245377,0.0,150.0,34560
27,0.0,0.0,0.0,150.0,1.9406529739499092,0.0,150.0,35840
28,0.0,0.0,0.0,150.0,1.9298407062888145,0.0,150.0,37120
